poi_name,main_poi,poi_type,poi_category,city,location_desc,function_desc,heat_score,source_text,source_type,confidence
伊犁草原,,景点,导航类,新疆,,,2805.0,五月的伊犁草原真的太美了！推荐大家去那拉提草原和喀拉峻景区，还有独库公路也超美。住宿可以选择特克斯县的民宿，很有特色。景区入口有停车场和补给点。,post_content,0.75
停车场和补给点,,功能点,导航类,新疆,,,2805.0,五月的伊犁草原真的太美了！推荐大家去那拉提草原和喀拉峻景区，还有独库公路也超美。住宿可以选择特克斯县的民宿，很有特色。景区入口有停车场和补给点。,post_content,0.75
景区入口有停车场,,景点,导航类,新疆,,,2805.0,五月的伊犁草原真的太美了！推荐大家去那拉提草原和喀拉峻景区，还有独库公路也超美。住宿可以选择特克斯县的民宿，很有特色。景区入口有停车场和补给点。,post_content,0.75
很有特色。景区入口,,景点,导航类,新疆,,,2805.0,五月的伊犁草原真的太美了！推荐大家去那拉提草原和喀拉峻景区，还有独库公路也超美。住宿可以选择特克斯县的民宿，很有特色。景区入口有停车场和补给点。,post_content,0.75
民宿,,住宿,导航类,新疆,,,2805.0,五月的伊犁草原真的太美了！推荐大家去那拉提草原和喀拉峻景区，还有独库公路也超美。住宿可以选择特克斯县的民宿，很有特色。景区入口有停车场和补给点。,post_content,0.75
拉提草原和喀拉峻景区,,景点,导航类,新疆,,,2805.0,五月的伊犁草原真的太美了！推荐大家去那拉提草原和喀拉峻景区，还有独库公路也超美。住宿可以选择特克斯县的民宿，很有特色。景区入口有停车场和补给点。,post_content,0.75
请问那拉提草原,,景点,导航类,新疆,,,50.0,请问那拉提草原的观景台在哪？,comment,0.7
观景台,,拍照点,导航类,新疆,,,50.0,请问那拉提草原的观景台在哪？,comment,0.7
拍照点,,拍照点,导航类,新疆,,,35.0,独库公路的拍照点推荐一下！,comment,0.7
民宿有充电桩,,住宿,导航类,新疆,,,28.0,特克斯县的民宿有充电桩吗？,comment,0.7
香港西九龙站直达南昌西站南昌西站出口,香港西九龙站直达南昌西站,功能点,导航类,香港,,,6115.0,香港西九龙站直达南昌西站，只要 7 个小时！沿途风景很美。准备去滕王阁和八一广场打卡。南昌西站出口有地铁站和出租车候车点。,post_content,0.75
售票处,,功能点,导航类,香港,,,45.0,滕王阁的售票处在哪？,comment,0.7
停车场,,设施点,导航类,香港,,,30.0,八一广场附近有停车场吗？,comment,0.7
